data,fonte,quantidade,status
2023-12-07T00:00:00,A,1448,ERRO
2023-12-08T00:00:00,A,919,ERRO
2023-12-13T00:00:00,A,1389,ERRO
2023-12-27T00:00:00,A,219,ERRO
2023-12-12T00:00:00,A,809,OK
2023-12-29T00:00:00,A,219,OK
2023-12-21T00:00:00,A,236,ERRO
2023-12-04T00:00:00,A,839,OK
2023-12-15T00:00:00,A,255,ERRO
2023-12-29T00:00:00,A,385,ERRO
2023-12-12T00:00:00,A,1430,ERRO
2023-12-26T00:00:00,A,260,ERRO
2023-12-08T00:00:00,A,254,ERRO
2023-12-01T00:00:00,A,279,ERRO
2023-12-19T00:00:00,A,279,ERRO
2023-12-20T00:00:00,A,572,OK
2023-12-04T00:00:00,A,1551,ERRO
2023-12-05T00:00:00,A,931,OK
2023-12-20T00:00:00,A,1070,ERRO
2023-12-18T00:00:00,A,275,ERRO
2023-12-13T00:00:00,A,277,ERRO
2023-12-11T00:00:00,A,291,ERRO
2023-12-01T00:00:00,A,581,OK
2023-12-20T00:00:00,A,288,ERRO
2023-12-15T00:00:00,A,574,OK
2023-12-07T00:00:00,A,299,ERRO
2023-12-04T00:00:00,A,294,ERRO
2023-12-06T00:00:00,A,312,ERRO
2023-12-05T00:00:00,A,1755,ERRO
2023-12-15T00:00:00,A,1090,ERRO
2023-12-12T00:00:00,A,1,ERRO
2023-12-26T00:00:00,A,1,ERRO
2023-12-29T00:00:00,A,1,ERRO
2023-12-26T00:00:00,A,1,ERRO
2023-12-05T00:00:00,A,6,ERRO
2023-12-26T00:00:00,A,1,OK
2023-12-05T00:00:00,A,2,OK
2023-12-11T00:00:00,A,2,OK
2023-12-11T00:00:00,A,4,ERRO
2023-12-08T00:00:00,A,1,ERRO
2023-12-31T00:00:00,A,1,ERRO
2023-12-09T00:00:00,A,1,ERRO
2023-12-24T00:00:00,A,1,ERRO
2023-12-23T00:00:00,A,1,ERRO
2023-12-21T00:00:00,A,1,ERRO
2023-12-23T00:00:00,A,1,ERRO
2023-12-30T00:00:00,A,1,ERRO
2023-12-15T00:00:00,A,1,ERRO
2023-12-30T00:00:00,A,3,ERRO
2023-12-05T00:00:00,A,1,ERRO
2023-12-30T00:00:00,A,1,OK
2023-12-09T00:00:00,A,3,ERRO
2023-12-20T00:00:00,A,3,ERRO
2023-12-31T00:00:00,A,4,ERRO
2023-12-16T00:00:00,A,2,ERRO
2023-12-09T00:00:00,A,3,ERRO
2023-12-29T00:00:00,A,2,ERRO
2023-12-25T00:00:00,A,2,OK
2023-12-25T00:00:00,A,2,ERRO
2023-12-23T00:00:00,A,2,OK
2023-12-05T00:00:00,A,5,ERRO
2023-12-10T00:00:00,A,3,ERRO
2023-12-02T00:00:00,A,3,ERRO
2023-12-22T00:00:00,A,5,ERRO
2023-12-17T00:00:00,A,4,ERRO
2023-12-03T00:00:00,A,3,OK
2023-12-03T00:00:00,A,7,ERRO
2023-12-23T00:00:00,A,5,ERRO
2023-12-03T00:00:00,A,4,ERRO
2023-12-23T00:00:00,A,4,ERRO
2023-12-14T00:00:00,A,4,ERRO
2023-12-13T00:00:00,A,4,ERRO
2023-12-09T00:00:00,A,6,ERRO
2023-12-14T00:00:00,A,4,ERRO
2023-12-31T00:00:00,A,4,OK
2023-12-09T00:00:00,A,4,OK
2023-12-19T00:00:00,A,6,ERRO
2023-12-17T00:00:00,A,5,OK
2023-12-17T00:00:00,A,9,ERRO
2023-12-18T00:00:00,A,9,ERRO
2023-12-08T00:00:00,A,9,ERRO
2023-12-12T00:00:00,A,6,ERRO
2023-12-31T00:00:00,A,14,ERRO
2023-12-13T00:00:00,A,9,ERRO
2023-12-26T00:00:00,A,10,ERRO
2023-12-15T00:00:00,A,9,ERRO
2023-12-01T00:00:00,A,11,ERRO
2023-12-10T00:00:00,A,9,OK
2023-12-10T00:00:00,A,26,ERRO
2023-12-27T00:00:00,A,14,ERRO
2023-12-18T00:00:00,A,12,ERRO
2023-12-16T00:00:00,A,24,ERRO
2023-12-02T00:00:00,A,24,ERRO
2023-12-02T00:00:00,A,11,OK
2023-12-16T00:00:00,A,10,OK
2023-12-20T00:00:00,A,18,ERRO
2023-12-07T00:00:00,A,13,ERRO
2023-12-05T00:00:00,A,13,ERRO
2023-12-21T00:00:00,A,17,ERRO
2023-12-28T00:00:00,A,18,ERRO
2023-12-06T00:00:00,A,20,ERRO
2023-12-04T00:00:00,A,32,ERRO
2023-12-29T00:00:00,A,20,ERRO
2023-12-28T00:00:00,A,27,ERRO
2023-12-08T00:00:00,A,25,ERRO
2023-12-22T00:00:00,A,37,ERRO
2023-12-11T00:00:00,A,41,ERRO
2023-12-14T00:00:00,A,39,ERRO
2023-12-18T00:00:00,A,39,ERRO
2023-12-05T00:00:00,A,39,ERRO
2023-12-20T00:00:00,A,39,ERRO
2023-12-21T00:00:00,A,42,ERRO
2023-12-22T00:00:00,A,43,OK
2023-12-07T00:00:00,A,47,ERRO
2023-12-22T00:00:00,A,92,ERRO
2023-12-01T00:00:00,A,44,ERRO
2023-12-29T00:00:00,A,43,OK
2023-12-29T00:00:00,A,87,ERRO
2023-12-19T00:00:00,A,57,ERRO
2023-12-11T00:00:00,A,50,ERRO
2023-12-15T00:00:00,A,46,ERRO
2023-12-06T00:00:00,A,51,ERRO
2023-12-26T00:00:00,A,50,ERRO
2023-12-04T00:00:00,A,48,ERRO
2023-12-12T00:00:00,A,52,ERRO
2023-12-13T00:00:00,A,60,ERRO
2023-12-21T00:00:00,A,57,OK
2023-12-21T00:00:00,A,102,ERRO
2023-12-27T00:00:00,A,64,ERRO
2023-12-28T00:00:00,A,66,OK
2023-12-08T00:00:00,A,69,OK
2023-12-08T00:00:00,A,121,ERRO
2023-12-28T00:00:00,A,138,ERRO
2023-12-15T00:00:00,A,79,OK
2023-12-20T00:00:00,A,80,OK
2023-12-15T00:00:00,A,162,ERRO
2023-12-20T00:00:00,A,172,ERRO
2023-12-27T00:00:00,A,91,OK
2023-12-14T00:00:00,A,85,OK
2023-12-27T00:00:00,A,178,ERRO
2023-12-11T00:00:00,A,94,OK
2023-12-14T00:00:00,A,169,ERRO
2023-12-11T00:00:00,A,199,ERRO
2023-12-26T00:00:00,A,96,OK
2023-12-01T00:00:00,A,100,OK
2023-12-13T00:00:00,A,88,OK
2023-12-13T00:00:00,A,168,ERRO
2023-12-26T00:00:00,A,188,ERRO
2023-12-05T00:00:00,A,189,ERRO
2023-12-01T00:00:00,A,184,ERRO
2023-12-05T00:00:00,A,98,OK
2023-12-07T00:00:00,A,97,OK
2023-12-06T00:00:00,A,107,OK
2023-12-19T00:00:00,A,103,OK
2023-12-19T00:00:00,A,192,ERRO
2023-12-18T00:00:00,A,111,OK
2023-12-06T00:00:00,A,199,ERRO
2023-12-07T00:00:00,A,187,ERRO
2023-12-18T00:00:00,A,213,ERRO
2023-12-04T00:00:00,A,135,OK
2023-12-04T00:00:00,A,252,ERRO
2023-12-12T00:00:00,A,122,OK
2023-12-12T00:00:00,A,247,ERRO
2023-12-23T00:00:00,A,1,ERRO
2023-12-17T00:00:00,A,1,ERRO
2023-12-19T00:00:00,A,1,ERRO
2023-12-03T00:00:00,A,1,ERRO
2023-12-09T00:00:00,A,1,ERRO
2023-12-09T00:00:00,A,1,ERRO
2023-12-04T00:00:00,A,1,ERRO
2023-12-23T00:00:00,A,1,ERRO
2023-12-11T00:00:00,A,1,ERRO
2023-12-29T00:00:00,A,1,ERRO
2023-12-21T00:00:00,A,1,ERRO
2023-12-30T00:00:00,A,1,ERRO
2023-12-28T00:00:00,A,2,ERRO
2023-12-19T00:00:00,A,2,ERRO
2023-12-29T00:00:00,A,2,ERRO
2023-12-01T00:00:00,A,2,ERRO
2023-12-18T00:00:00,A,5,ERRO
2023-12-11T00:00:00,A,3,ERRO
2023-12-21T00:00:00,A,4,ERRO
2023-12-15T00:00:00,A,5,ERRO
2023-12-13T00:00:00,A,4,ERRO
2023-12-08T00:00:00,A,5,ERRO
2023-12-04T00:00:00,A,8,ERRO
2023-12-22T00:00:00,A,8,ERRO
2023-12-07T00:00:00,A,7,ERRO
2023-12-26T00:00:00,A,7,ERRO
2023-12-20T00:00:00,A,9,ERRO
2023-12-06T00:00:00,A,12,ERRO
2023-12-01T00:00:00,A,12,ERRO
2023-12-11T00:00:00,A,15,ERRO
2023-12-27T00:00:00,A,12,ERRO
2023-12-05T00:00:00,A,11,ERRO
2023-12-14T00:00:00,A,14,ERRO
2023-12-04T00:00:00,A,13,ERRO
2023-12-13T00:00:00,A,15,ERRO
2023-12-18T00:00:00,A,17,ERRO
2023-12-24T00:00:00,A,19,ERRO
2023-12-12T00:00:00,A,21,ERRO
2023-12-15T00:00:00,A,1283,ERRO
2023-12-05T00:00:00,A,24,ERRO
2023-12-25T00:00:00,A,27,ERRO
2023-12-14T00:00:00,A,28,ERRO
2023-12-31T00:00:00,A,30,ERRO
2023-12-08T00:00:00,A,1293,ERRO
2023-12-30T00:00:00,A,52,ERRO
2023-12-13T00:00:00,A,1631,ERRO
2023-12-07T00:00:00,A,1644,ERRO
2023-12-17T00:00:00,A,59,ERRO
2023-12-03T00:00:00,A,66,ERRO
2023-12-10T00:00:00,A,91,ERRO
2023-12-28T00:00:00,A,1061,ERRO
2023-12-26T00:00:00,A,1324,ERRO
